item_name,station,day_served,meal_time,calories,contains_eggs,contains_fish,contains_milk,contains_peanuts,contains_shellfish,contains_soy,contains_treenuts,contains_wheat,is_gluten_free,is_halal,is_kosher,is_locally_grown,is_organic,is_vegan,is_vegetarian
hamburger,ignite grill,friday,lunch,330,False,False,False,False,False,False,False,True,False,,,False,False,False,False
grilled herb chicken sandwich,ignite grill,friday,lunch,330,False,False,False,False,False,False,False,True,False,False,,False,False,False,False
philly cheesesteak,ignite grill,friday,lunch,490,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
crispy shoestring french fries,ignite grill,friday,lunch,150,False,False,False,False,False,False,False,False,True,True,,False,False,False,False
honey dijon chicken snacker,ignite lto,friday,lunch,280,False,False,True,False,False,False,False,True,False,False,,False,False,False,False
"pork, salami and swiss melt",green st. panini,friday,lunch,430,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
"chicken, bacon & ranch panini",green st. panini,friday,lunch,520,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
grilled cheese sandwich,green st. panini,friday,lunch,430,True,False,True,False,False,True,False,False,True,False,,False,False,False,True
chipotle chicken quesadilla,green st. panini,friday,lunch,490,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
broccoli cheddar soup,green st. panini,friday,lunch,200,False,False,True,False,False,True,False,True,False,,,False,False,False,False
chicken noodle soup,green st. panini,friday,lunch,70,,,,,,,,,,,,False,False,False,False
cilantro-lime barley,uc veg hand held,friday,lunch,130,False,False,False,False,False,False,False,False,False,,,False,False,True,True
turmeric & quinoa basmati rice,uc veg hand held,friday,lunch,110,False,False,False,False,False,False,False,False,True,,True,False,False,True,True
blanched cauliflower,uc veg hand held,friday,lunch,15,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
blanched fresh kale,uc veg hand held,friday,lunch,10,False,False,False,False,False,False,False,False,True,True,,False,False,True,True
southwest sweet potato,uc veg hot,friday,lunch,360,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
vegetarian chorizo bowl,uc veg lto,friday,lunch,590,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
grilled veg & hummus pita,uc veg lto,friday,lunch,370,,,,,,,,,,,,False,False,False,True
strawberry chia toast,uc veg lto,friday,lunch,190,False,False,True,False,False,True,False,True,False,False,,False,False,False,True
vegan kale caesar salad,uc veg salad bar,friday,lunch,440,,,,,,,,,,,,False,False,True,True
veggie antioxidant salad,uc veg salad bar,friday,lunch,310,,,,,,,,,,,,False,False,False,True
sesame noodle salad,uc veg salad bar,friday,lunch,270,,,,,,,,,,,,False,False,True,True
rice noodles,uc veg soup,friday,lunch,210,,,,,,,,,,,,False,False,True,True
spicy vegetable gumbo,uc veg soup,friday,lunch,40,False,False,False,False,False,False,False,False,True,,,False,False,True,True
korean vegetable broth,uc veg soup,friday,lunch,5,,,,,,,,,,,,False,False,True,True
pan-seared ancho lime cod,vespa lto,friday,lunch,340,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False
garlic herb breadstick,vespa pasta,friday,lunch,180,True,False,True,False,False,True,False,True,False,,,False,False,False,True
bbq chicken pizza,vespa pizza,friday,lunch,310,,,,,,,,,,,,False,False,False,False
classic cheese pizza,vespa pizza,friday,lunch,250,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
pepperoni pizza,vespa pizza,friday,lunch,280,True,False,True,False,False,True,False,True,False,,False,False,False,False,False
white pizza,vespa pizza,friday,lunch,300,True,False,True,False,False,True,False,True,False,,False,False,False,False,True
belgian waffle,dtg,saturday,lunch,260,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True
vegan kale caesar salad,uc veg salad bar,saturday,lunch,440,,,,,,,,,,,,False,False,True,True
veggie antioxidant salad,uc veg salad bar,saturday,lunch,310,,,,,,,,,,,,False,False,False,True
mediterranean lentil salad,uc veg salad bar,saturday,lunch,160,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
belgian waffle,dtg,sunday,lunch,260,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True
signature chips,green st. deli,sunday,lunch,140,False,False,False,False,False,False,False,False,True,,,False,False,False,False
"chicken, bacon & ranch panini",green st. lto,sunday,lunch,520,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
chicken tenders and fries,ignite grill,sunday,lunch,620,False,False,False,False,False,False,False,True,False,,,False,False,False,False
gardenburger black bean burger,ignite grill,sunday,lunch,270,False,False,False,False,False,True,False,True,False,,True,False,False,True,True
hamburger,ignite grill,sunday,lunch,330,False,False,False,False,False,False,False,True,False,,,False,False,False,False
grilled herb chicken sandwich,ignite grill,sunday,lunch,330,False,False,False,False,False,False,False,True,False,False,,False,False,False,False
philly cheesesteak,ignite grill,sunday,lunch,490,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
crispy shoestring french fries,ignite grill,sunday,lunch,150,False,False,False,False,False,False,False,False,True,True,,False,False,False,False
grilled chicken bruschetta,ignite lto,sunday,lunch,180,False,False,False,False,False,False,False,False,True,,,False,False,False,False
"pork, salami and swiss melt",green st. panini,sunday,lunch,430,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
"chicken, bacon & ranch panini",green st. panini,sunday,lunch,520,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
grilled cheese sandwich,green st. panini,sunday,lunch,430,True,False,True,False,False,True,False,False,True,False,,False,False,False,True
chipotle chicken quesadilla,green st. panini,sunday,lunch,490,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False
broccoli cheddar soup,green st. panini,sunday,lunch,200,False,False,True,False,False,True,False,True,False,,,False,False,False,False
chicken noodle soup,green st. panini,sunday,lunch,70,,,,,,,,,,,,False,False,False,False
cilantro-lime barley,uc veg hand held,sunday,lunch,130,False,False,False,False,False,False,False,False,False,,,False,False,True,True
turmeric & quinoa basmati rice,uc veg hand held,sunday,lunch,110,False,False,False,False,False,False,False,False,True,,True,False,False,True,True
blanched cauliflower,uc veg hand held,sunday,lunch,15,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True
blanched fresh kale,uc veg hand held,sunday,lunch,10,False,False,False,False,False,False,False,False,True,True,,False,False,True,True
black bean stuffed pepper,uc veg hot,sunday,lunch,170,False,False,False,False,False,False,False,False,True,False,,False,False,True,True
vegetarian chorizo bowl,uc veg lto,sunday,lunch,590,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True
grilled veg & hummus pita,uc veg lto,sunday,lunch,370,,,,,,,,,,,,False,False,False,True
strawberry chia toast,uc veg lto,sunday,lunch,190,False,False,True,False,False,True,False,True,False,False,,False,False,False,True
vegan kale caesar salad,uc veg salad bar,sunday,lunch,440,,,,,,,,,,,,False,False,True,True
veggie antioxidant salad,uc veg salad bar,sunday,lunch,310,,,,,,,,,,,,False,False,False,True
spicy sweet potato salad,uc veg salad bar,sunday,lunch,120,False,False,False,False,False,False,False,False,True,True,,False,False,True,True
rice noodles,uc veg soup,sunday,lunch,210,,,,,,,,,,,,False,False,True,True
spicy vegetable gumbo,uc veg soup,sunday,lunch,40,False,False,False,False,False,False,False,False,True,,,False,False,True,True
korean vegetable broth,uc veg soup,sunday,lunch,5,,,,,,,,,,,,False,False,True,True
garlic herb breadstick,vespa pasta,sunday,lunch,180,True,False,True,False,False,True,False,True,False,,,False,False,False,True
asian chicken flatbread,vespa pizza,sunday,lunch,570,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False
chicken-bacon ranch flatbread,vespa pizza,sunday,lunch,440,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
classic cheese pizza,vespa pizza,sunday,lunch,250,True,False,True,False,False,True,False,True,False,True,,False,False,False,True
pepperoni pizza,vespa pizza,sunday,lunch,280,True,False,True,False,False,True,False,True,False,,False,False,False,False,False
belgian waffle,dtg,wednesday,dinner,260,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True
devil's food cupcake,dtg,wednesday,dinner,150,True,False,True,False,False,True,False,True,False,True,True,False,False,False,True
gingerbread thimble cake,dtg,wednesday,dinner,130,,,,,,,,,,,,False,False,False,False
